Receptor,Treatment,Concentration,Rep1,Rep2,Rep3
None,helional,0,0.146588568,0.146339247,0.153034702
None,helional,0.0005,0.698631439,0.70722372,0.715348129
None,helional,0.001,0.610736515,0.477673936,0.456186413
None,Methyl salicylate,0,0.146588568,0.146339247,0.153034702
None,Methyl salicylate,0.0005,0.133717762,0.125157921,0.141821646
None,Methyl salicylate,0.001,0.160136954,0.153140109,0.166679131
None,Eugenol methyl ether,0,0.146588568,0.146339247,0.153034702
None,Eugenol methyl ether,0.0005,0.166850904,0.187542379,0.14519743
None,Eugenol methyl ether,0.001,0.174963243,0.222640615,0.177037487
None,Dimethyl anthranilate,0,0.146588568,0.146339247,0.153034702
None,Dimethyl anthranilate,0.0005,0.134039334,0.161468754,0.132132958
None,Dimethyl anthranilate,0.001,0.163040073,0.179480088,0.175613731
None,ethyl maltol,0,0.146588568,0.146339247,0.153034702
None,ethyl maltol,0.0005,0.144269269,0.154982083,0.164451551
None,ethyl maltol,0.001,0.165085225,0.192921299,0.177241084
None,6-Bromohexanoic acid,0,0.146588568,0.146339247,0.153034702
None,6-Bromohexanoic acid,0.0005,0.368229116,0.415172747,0.333416407
None,6-Bromohexanoic acid,0.001,0.359535246,0.388296193,0.353696006
None,n-Decyl acetate,0,0.146588568,0.146339247,0.153034702
None,n-Decyl acetate,0.0005,0.223962165,0.15135935,0.17856307
None,n-Decyl acetate,0.001,0.172676422,0.168199284,0.160385627
None,Piperonal,0,0.146588568,0.146339247,0.153034702
None,Piperonal,0.0005,0.330169134,0.271705227,0.278889983
None,Piperonal,0.001,0.173037754,0.199161364,0.176626347
None,trans-2-Methyl-2-butenal (2MB),0,0.146588568,0.146339247,0.153034702
None,trans-2-Methyl-2-butenal (2MB),0.0005,0.264219099,0.259989903,0.370716095
None,trans-2-Methyl-2-butenal (2MB),0.001,0.169662789,0.184360135,0.181607222
None,Octanal,0,0.146588568,0.146339247,0.153034702
None,Octanal,0.0005,0.142246534,0.134484551,0.13503228
None,Octanal,0.001,0.188833464,0.16119587,0.17184719
None,"1,9-nonanediol",0,0.146588568,0.146339247,0.153034702
None,"1,9-nonanediol",0.0005,0.287555963,0.20712545,0.242128096
None,"1,9-nonanediol",0.001,0.760903928,0.677125777,0.61979196
None,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0,0.146588568,0.146339247,0.153034702
None,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.0005,0.127995194,0.109751087,0.111819641
None,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.001,0.153950567,0.163335756,0.141086313
None,Pentanoic Acid,0,0.146588568,0.146339247,0.153034702
None,Pentanoic Acid,0.0005,0.118512111,0.117727086,0.120489108
None,Pentanoic Acid,0.001,0.200199416,0.239498242,0.308997429
None,n-Decyl acetate,0,0.146588568,0.146339247,0.153034702
None,n-Decyl acetate,0.0005,0.167050293,0.152010675,0.150068788
None,n-Decyl acetate,0.001,0.168866636,0.17951456,0.176565584
None,beta-Damascone,0,0.146588568,0.146339247,0.153034702
None,beta-Damascone,0.0005,0.127487769,0.158968733,0.134960482
None,beta-Damascone,0.001,0.167478853,0.171500798,0.19007886
None,Benzaldehyde,0,0.146588568,0.146339247,0.153034702
None,Benzaldehyde,0.0005,0.155673058,0.19597092,0.158090402
None,Benzaldehyde,0.001,0.193038717,0.185061668,0.155473852
None,Isovaleric Acid,0,0.146588568,0.146339247,0.153034702
None,Isovaleric Acid,0.0005,0.18678931,0.234686446,0.369277684
None,Isovaleric Acid,0.001,0.44385202,0.511953296,0.783354654
None,Dimethyl trisulfide,0,0.146588568,0.146339247,0.153034702
None,Dimethyl trisulfide,0.0005,0.153211482,0.169864618,0.145560538
None,Dimethyl trisulfide,0.001,0.211275736,0.220263358,0.165165503
None,benzyl benzoate (Pentamethylbenzaldehyde),0,0.336473683,0.309208108,0.269744242
None,benzyl benzoate (Pentamethylbenzaldehyde),0.0005,0.335734126,0.296499202,0.26462272
None,benzyl benzoate (Pentamethylbenzaldehyde),0.001,0.54939718,0.578612742,0.532919512
None,Cyclobutanecarboxylic acid,0,0.146588568,0.146339247,0.153034702
None,Cyclobutanecarboxylic acid,0.0005,0.166541269,0.195586233,0.173457083
None,Cyclobutanecarboxylic acid,0.001,0.206735967,0.217447081,0.198366542
None,Nonanal,0,0.146588568,0.146339247,0.153034702
None,Nonanal,0.0005,0.162924447,0.171710559,0.254605827
None,Nonanal,0.001,0.172351531,0.217906466,0.226851364
None,Butanal,0,0.143439547,0.153426988,0.142241317
None,Butanal,0.0005,0.145789092,0.144542615,0.149948294
None,Butanal,0.001,0.14608384,0.164570175,0.146363636
None,Methyl eugenol,0,0.146269162,0.146740125,0.129598975
None,Methyl eugenol,0.0005,0.21893323,0.213067634,0.19469243
None,Methyl eugenol,0.001,0.314193086,0.289038323,0.262096872
None,Cyclobutanecarboxylic acid,0,0.148691011,0.153788391,0.143197938
None,Cyclobutanecarboxylic acid,0.0005,0.182497763,0.177688981,0.169283051
None,Cyclobutanecarboxylic acid,0.001,0.203828518,0.182240004,0.161937905
None,Benzaldehyde,0,0.14454645,0.153858929,0.144052971
None,Benzaldehyde,0.0005,0.180198466,0.171690604,0.163643034
None,Benzaldehyde,0.001,0.161823297,0.164486477,0.168449662
None,Turkish Rose Oil,0,0.11615917,0.131497185,0.159938065
None,Turkish Rose Oil,0.0005,0.111377386,0.122051872,0.10098772
None,Turkish Rose Oil,0.001,0.191742988,0.18103178,0.133780498
None,Muscenone,0,0.142688679,0.132847834,0.131212775
None,Muscenone,0.0005,0.19337589,0.18385126,0.181480533
None,Muscenone,0.001,0.191472902,0.219223756,0.58988764
